FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14638581,14638581,POINT (16.354826912367486 48.156185669626424),Otto-Probst-Straße,Otto-Probst-Straße,N65,,11,https://anachb.vor.at?P=SQ&input=Wien%20Otto-Probst-Straße&start=1,
OEFFHALTESTOGD.14638582,14638582,POINT (16.354817912399202 48.156311569217806),Otto-Probst-Straße,Otto-Probst-Straße,N65,,10,https://anachb.vor.at?P=SQ&input=Wien%20Otto-Probst-Straße&start=1,
OEFFHALTESTOGD.14638583,14638583,POINT (16.354817912399202 48.156311569217806),Otto-Probst-Straße,Otto-Probst-Straße,N65,,11,https://anachb.vor.at?P=SQ&input=Wien%20Otto-Probst-Straße&start=1,
OEFFHALTESTOGD.14638584,14638584,POINT (16.364906012059027 48.169972970050864),Troststraße/Neilreichgasse,Troststraße/Neilreichgasse,"11,65A,N65,O",,10,https://anachb.vor.at?P=SQ&input=Wien%20Troststraße/Neilreichgasse&start=1,
OEFFHALTESTOGD.14638585,14638585,POINT (16.364906012059027 48.169972970050864),Troststraße/Neilreichgasse,Troststraße/Neilreichgasse,"11,65A,N65,O",,11,https://anachb.vor.at?P=SQ&input=Wien%20Troststraße/Neilreichgasse&start=1,
OEFFHALTESTOGD.14638586,14638586,POINT (16.36433111252993 48.16972136991365),Troststraße/Neilreichgasse,Troststraße/Neilreichgasse,"11,N65,O",,10,https://anachb.vor.at?P=SQ&input=Wien%20Troststraße/Neilreichgasse&start=1,
OEFFHALTESTOGD.14638587,14638587,POINT (16.36433111252993 48.16972136991365),Troststraße/Neilreichgasse,Troststraße/Neilreichgasse,"11,N65,O",,11,https://anachb.vor.at?P=SQ&input=Wien%20Troststraße/Neilreichgasse&start=1,
OEFFHALTESTOGD.14638588,14638588,POINT (16.48414831247653 48.2391710697135),Zanggasse,Zanggasse,"26,85A,95B,97A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Zanggasse&start=1,
OEFFHALTESTOGD.14638589,14638589,POINT (16.48414831247653 48.2391710697135),Zanggasse,Zanggasse,"26,85A,95B,97A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Zanggasse&start=1,
OEFFHALTESTOGD.14638590,14638590,POINT (16.48775061305911 48.23708896947417),Am Heidjöchl,Am Heidjöchl,"26,85A,95B,97A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Heidjöchl&start=1,
OEFFHALTESTOGD.14638591,14638591,POINT (16.48775061305911 48.23708896947417),Am Heidjöchl,Am Heidjöchl,"26,85A,95B,97A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Heidjöchl&start=1,
OEFFHALTESTOGD.14638592,14638592,POINT (16.487822513161895 48.237166670123145),Am Heidjöchl,Am Heidjöchl,"26,85A,95B,97A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Heidjöchl&start=1,
OEFFHALTESTOGD.14638593,14638593,POINT (16.487822513161895 48.237166670123145),Am Heidjöchl,Am Heidjöchl,"26,85A,95B,97A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Heidjöchl&start=1,
OEFFHALTESTOGD.14638594,14638594,POINT (16.48148031280378 48.2380701698649),Frederick-Loewe-Weg,Frederick-Loewe-Weg,N23,,10,https://anachb.vor.at?P=SQ&input=Wien%20Frederick-Loewe-Weg&start=1,
OEFFHALTESTOGD.14638595,14638595,POINT (16.48148031280378 48.2380701698649),Frederick-Loewe-Weg,Frederick-Loewe-Weg,N23,,11,https://anachb.vor.at?P=SQ&input=Wien%20Frederick-Loewe-Weg&start=1,
OEFFHALTESTOGD.14638596,14638596,POINT (16.45174611266565 48.2467329694098),Afritschgasse,Afritschgasse,"22A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Afritschgasse&start=1,
OEFFHALTESTOGD.14638597,14638597,POINT (16.45174611266565 48.2467329694098),Afritschgasse,Afritschgasse,"22A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Afritschgasse&start=1,
OEFFHALTESTOGD.14638598,14638598,POINT (16.451701212604508 48.247402969935635),Afritschgasse,Afritschgasse,"22A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Afritschgasse&start=1,
OEFFHALTESTOGD.14638599,14638599,POINT (16.451701212604508 48.247402969935635),Afritschgasse,Afritschgasse,"22A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Afritschgasse&start=1,
OEFFHALTESTOGD.14638600,14638600,POINT (16.487355312281277 48.233881870038104),Hausfeldstraße (Unterführung),Hausfeldstraße (Unterführung),"26,85A,95B,97A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Hausfeldstraße&start=1,
OEFFHALTESTOGD.14638601,14638601,POINT (16.487355312281277 48.233881870038104),Hausfeldstraße (Unterführung),Hausfeldstraße (Unterführung),"26,85A,95B,97A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Hausfeldstraße&start=1,
OEFFHALTESTOGD.14638602,14638602,POINT (16.487130812666763 48.23368436992405),Hausfeldstraße (Unterführung),Hausfeldstraße (Unterführung),"26,85A,95B,97A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Hausfeldstraße&start=1,
OEFFHALTESTOGD.14638603,14638603,POINT (16.487130812666763 48.23368436992405),Hausfeldstraße (Unterführung),Hausfeldstraße (Unterführung),"26,85A,95B,97A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Hausfeldstraße&start=1,
OEFFHALTESTOGD.14638604,14638604,POINT (16.47849791252738 48.237471869268624),Gladiolenweg,Gladiolenweg,"95A,95B,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Gladiolenweg&start=1,
OEFFHALTESTOGD.14638605,14638605,POINT (16.47849791252738 48.237471869268624),Gladiolenweg,Gladiolenweg,"95A,95B,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Gladiolenweg&start=1,
OEFFHALTESTOGD.14638606,14638606,POINT (16.47904591271085 48.23771716990699),Gladiolenweg,Gladiolenweg,"95A,95B,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Gladiolenweg&start=1,
OEFFHALTESTOGD.14638607,14638607,POINT (16.47904591271085 48.23771716990699),Gladiolenweg,Gladiolenweg,"95A,95B,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Gladiolenweg&start=1,
OEFFHALTESTOGD.14638608,14638608,POINT (16.443355812735696 48.250561369600995),Kagraner Platz (Busbahnhof),Kagraner Platz (Busbahnhof),"22A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Kagraner%20Platz&start=1,
OEFFHALTESTOGD.14638609,14638609,POINT (16.443355812735696 48.250561369600995),Kagraner Platz (Busbahnhof),Kagraner Platz (Busbahnhof),"22A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Kagraner%20Platz&start=1,
OEFFHALTESTOGD.14638610,14638610,POINT (16.466056313063756 48.23486906992173),Hirschstetten Ort,Hirschstetten Ort,"22A,95A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Hirschstetten%20Ort&start=1,
OEFFHALTESTOGD.14638611,14638611,POINT (16.466056313063756 48.23486906992173),Hirschstetten Ort,Hirschstetten Ort,"22A,95A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Hirschstetten%20Ort&start=1,
OEFFHALTESTOGD.14638612,14638612,POINT (16.466200012976632 48.23496487008225),Hirschstetten Ort,Hirschstetten Ort,"22A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Hirschstetten%20Ort&start=1,
OEFFHALTESTOGD.14638613,14638613,POINT (16.466200012976632 48.23496487008225),Hirschstetten Ort,Hirschstetten Ort,"22A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Hirschstetten%20Ort&start=1,
OEFFHALTESTOGD.14638614,14638614,POINT (16.472712812691174 48.23601796927334),Blumengärten Hirschstetten,Blumengärten Hirschstetten,"95A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Blumengärten%20Hirschstetten&start=1,
OEFFHALTESTOGD.14638615,14638615,POINT (16.472712812691174 48.23601796927334),Blumengärten Hirschstetten,Blumengärten Hirschstetten,"95A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Blumengärten%20Hirschstetten&start=1,
OEFFHALTESTOGD.14638616,14638616,POINT (16.471032913064143 48.235802569377014),Blumengärten Hirschstetten,Blumengärten Hirschstetten,"95A,95B,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Blumengärten%20Hirschstetten&start=1,
OEFFHALTESTOGD.14638617,14638617,POINT (16.471032913064143 48.235802569377014),Blumengärten Hirschstetten,Blumengärten Hirschstetten,"95A,95B,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Blumengärten%20Hirschstetten&start=1,
OEFFHALTESTOGD.14638618,14638618,POINT (16.475542512137075 48.236616269842784),Murraygasse,Murraygasse,"95A,95B,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.14638619,14638619,POINT (16.475542512137075 48.236616269842784),Murraygasse,Murraygasse,"95A,95B,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.14638620,14638620,POINT (16.47544371305325 48.23674186960134),Murraygasse,Murraygasse,"95A,95B,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.14638621,14638621,POINT (16.47544371305325 48.23674186960134),Murraygasse,Murraygasse,"95A,95B,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.14638622,14638622,POINT (16.44984171272211 48.248497669849144),Kraygasse,Kraygasse,"22A,24A,26,27,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Kraygasse&start=1,
