"LINIEN_ID";"BEZEICHNUNG";"REIHENFOLGE";"ECHTZEIT";"VERKEHRSMITTEL";"STAND"
1285616394;"BB";0;0;"ptBadner_Bahn";
1085624414;"D";10;1;"ptTram";
1085624529;"N17";0;1;"Pt_RufbusNacht";
1085624504;"N20";320;1;"ptBusNight";
1085624505;"N23";323;1;"ptBusNight";
1085624531;"N24";0;1;"Pt_RufbusNacht";
1085624530;"N24";0;1;"Pt_RufbusNacht";
1085624506;"N25";325;1;"ptBusNight";
1085624507;"N26";326;1;"ptBusNight";
1085624508;"N29";329;1;"ptBusNight";
1439986026;"N30";0;1;"Pt_RufbusNacht";
1085624509;"N31";331;1;"ptBusNight";
1085624510;"N35";335;1;"ptBusNight";
1085624532;"N35";335;1;"Pt_RufbusNacht";
1085624533;"N36";0;1;"Pt_RufbusNacht";
1085624511;"N38";338;1;"ptBusNight";
1085624512;"N41";341;1;"ptBusNight";
1085624513;"N43";343;1;"ptBusNight";
1085624514;"N46";346;1;"ptBusNight";
1085624515;"N49";349;1;"ptBusNight";
1085624534;"N54";0;1;"Pt_RufbusNacht";
1085624502;"N6";306;1;"ptBusNight";
1085624516;"N60";360;1;"ptBusNight";
1085624535;"N61";0;1;"Pt_RufbusNacht";
1085624517;"N62";362;1;"ptBusNight";
1085624536;"N64";364;1;"Pt_RufbusNacht";
1085624518;"N65";191;1;"ptBusNight";
1085624519;"N66";365;1;"ptBusNight";
1085624520;"N67";367;1;"ptBusNight";
1085624537;"N68";0;1;"Pt_RufbusNacht";
1085624521;"N71";371;1;"ptBusNight";
1085624522;"N75";375;1;"ptBusNight";
1085624503;"N8";191;1;"ptBusNight";
1085624538;"N81";0;1;"Pt_RufbusNacht";
1085624539;"N84";0;1;"Pt_RufbusNacht";
1085624540;"N90";0;1;"Pt_RufbusNacht";
1085624541;"N91";0;1;"Pt_RufbusNacht";
1085624415;"O";11;1;"ptTram";
1110883334;"S1";0;1;"ptTrainS";
1110883336;"S2";0;1;"ptTrainS";
1110883337;"S3";0;1;"ptTrainS";
1110883341;"S4";0;1;"ptTrainS";
1110883343;"S40";0;1;"ptTrainS";
1110883345;"S45";0;1;"ptTrainS";
1110883338;"S50";0;1;"ptTrainS";
1110883344;"S60";0;1;"ptTrainS";
1110883342;"S7";0;1;"ptTrainS";
1110883335;"S80";0;1;"ptTrainS";
1085624405;"U1";1;1;"ptMetro";
